block	endAmount	emission	era	increase	total
0	0	0.000000005	0	0	0
0	10500000	50	1	50.00	50.00
210000	10500000	50	1	50.00	50.00
210000	15750000	25	2	50.00	75.00
420000	15750000	25	2	50.00	75.00
420000	18375000	12.5	3	16.67	87.50
630000	18375000	12.5	3	16.67	87.50
630000	19687500	6.25	4	7.14	93.75
840000	19687500	6.25	4	7.14	93.75
840000	20343750	3.125	5	3.33	96.88
1050000	20343750	3.125	5	3.33	96.88
1050000	20671875	1.5625	6	1.61	98.44
1260000	20671875	1.5625	6	1.61	98.44
1260000	20835937.5	0.78125	7	0.79	99.22
1470000	20835937.5	0.78125	7	0.79	99.22
1470000	20917968.75	0.390625	8	0.39	99.61
1680000	20917968.75	0.390625	8	0.39	99.61
1680000	20958984.38	0.1953125	9	0.20	99.80
1890000	20958984.38	0.1953125	9	0.20	99.80
1890000	20979492.19	0.09765625	10	0.10	99.90
2100000	20979492.19	0.09765625	10	0.10	99.90
2100000	20989746.09	0.04882812	11	0.05	99.95
2310000	20989746.09	0.04882812	11	0.05	99.95
2310000	20994873.05	0.02441406	12	0.02	99.98
2520000	20994873.05	0.02441406	12	0.02	99.98
2520000	20997436.52	0.01220703	13	0.01	99.99
2730000	20997436.52	0.01220703	13	0.01	99.99
2730000	20998718.26	0.00610351	14	0.01	99.99
2940000	20998718.26	0.00610351	14	0.01	99.99
2940000	20999359.13	0.00305175	15	0.00	100.00
3150000	20999359.13	0.00305175	15	0.00	100.00
3150000	20999679.56	0.00152587	16	0.00	100.00
3360000	20999679.56	0.00152587	16	0.00	100.00
3360000	20999839.77	0.00076293	17	0.00	100.00
3570000	20999839.77	0.00076293	17	0.00	100.00
3570000	20999919.88	0.00038146	18	0.00	100.00
3780000	20999919.88	0.00038146	18	0.00	100.00
3780000	20999959.93	0.00019073	19	0.00	100.00
3990000	20999959.93	0.00019073	19	0.00	100.00
3990000	20999979.96	0.00009536	20	0.00	100.00
4200000	20999979.96	0.00009536	20	0.00	100.00
4200000	20999989.97	0.00004768	21	0.00	100.00
4410000	20999989.97	0.00004768	21	0.00	100.00
4410000	20999994.98	0.00002384	22	0.00	100.00
4620000	20999994.98	0.00002384	22	0.00	100.00
4620000	20999997.48	0.00001192	23	0.00	100.00
4830000	20999997.48	0.00001192	23	0.00	100.00
4830000	20999998.73	0.00000596	24	0.00	100.00
5040000	20999998.73	0.00000596	24	0.00	100.00
5040000	20999999.36	0.00000298	25	0.00	100.00
5250000	20999999.36	0.00000298	25	0.00	100.00
5250000	20999999.67	0.00000149	26	0.00	100.00
5460000	20999999.67	0.00000149	26	0.00	100.00
5460000	20999999.83	0.00000074	27	0.00	100.00
5670000	20999999.83	0.00000074	27	0.00	100.00
5670000	20999999.91	0.00000037	28	0.00	100.00
5880000	20999999.91	0.00000037	28	0.00	100.00
5880000	20999999.94	0.00000018	29	0.00	100.00
6090000	20999999.94	0.00000018	29	0.00	100.00
6090000	20999999.96	0.00000009	30	0.00	100.00
6300000	20999999.96	0.00000009	30	0.00	100.00
6300000	20999999.97	0.00000004	31	0.00	100.00
6510000	20999999.97	0.00000004	31	0.00	100.00
6510000	20999999.97	0.00000002	32	0.00	100.00
6720000	20999999.97	0.00000002	32	0.00	100.00
6720000	20999999.98	0.00000001	33	0.00	100.00
6930000	20999999.98	0.00000001	33	0.00	100.00
6930000	20999999.98	0.000000005	34	0.00	100.00
7140000	20999999.98	0.000000005	34	0.00	100.00
7140000	0	0.000000005	34	0.00	100.00
7140000	0	0.000000005	34	0.00	100.00
